"Name","Type","Line","Signature"
"getBondXpForNext","function","33783","function getBondXpForNext(lv) {"
"bondTrack","function","33787","function bondTrack(botName, youWon, playedCards, finalHandSize) {"
"showBondPopup","function","33840","function showBondPopup(msg, sub) {"
"renderBondsPanel","function","33855","function renderBondsPanel() {"
"_cgDefaultRules","function","34019","function _cgDefaultRules() {"
"openCustomGameLobby","function","34024","function openCustomGameLobby() {"
"_cgRenderRules","function","34032","function _cgRenderRules() {"
"cgSetRule","function","34058","function cgSetRule(id, val) {"
"_cgRulesToCode","function","34063","function _cgRulesToCode(rules) {"
"_cgCodeToRules","function","34075","function _cgCodeToRules(code) {"
"_cgUpdateCode","function","34093","function _cgUpdateCode() {"
"cgCopyCode","function","34097","function cgCopyCode() {"
"cgImportCode","function","34102","function cgImportCode() {"
"cgSavePreset","function","34113","function cgSavePreset() {"
"_cgRenderPresets","function","34125","function _cgRenderPresets() {"
"cgLoadPreset","function","34143","function cgLoadPreset(i) {"
"cgDeletePreset","function","34149","function cgDeletePreset(i) {"
"cgStartGame","function","34157","function cgStartGame() {"
"launchDoubleElimTournament","function","34183","function launchDoubleElimTournament() {"
"_deIsHuman","function","34216","function _deIsHuman(name) {"
"_deResolveBotMatch","function","34220","function _deResolveBotMatch(match) {"
"dePlayMatch","function","34225","function dePlayMatch(matchId) {"
"deResolveMatch","function","34242","function deResolveMatch(matchId, winner) {"
"_deFindMatch","function","34269","function _deFindMatch(id) {"
"_deAdvanceState","function","34273","function _deAdvanceState() {"
"_deCheckFinale","function","34303","function _deCheckFinale() {"
"renderDETournament","function","34330","function renderDETournament() {"
"renderMatch","arrow","34334","const renderMatch = (m) => {"
"_omTrackMove","function","34500","function _omTrackMove(card, col, turnCount) {"
"_omGetProfile","function","34514","function _omGetProfile() {"
"_patch","function","34535","function _patch() {"
"_patch","function","34557","function _patch() {"
"_patch","function","34588","function _patch() {"
"renderStatsPanel","function","34639","function renderStatsPanel() {"
"bestStreak","arrow","34649","const bestStreak = (() => {"
"_renderStatsMiniChart","function","34743","function _renderStatsMiniChart(canvasId, hist) {"
"_pushNotifEnabled","function","34785","function _pushNotifEnabled() {"
"togglePushNotif","function","34789","function togglePushNotif(enabled) {"
"_updateNotifStatus","function","34817","function _updateNotifStatus(msg) {"
"sendPushNotif","function","34822","function sendPushNotif(title, body, onClick) {"
"_init","function","34916","function _init() {"
